Notes,Year,Year Code,State,State Code,Gender,Gender Code,Deaths,Population,Crude Rate
,1999,1999,Minnesota,27,Male,M,366,2410550,15.2
,1999,1999,Mississippi,28,Female,F,53,1464581,3.6
,1999,1999,Mississippi,28,Male,M,251,1363827,18.4
,1999,1999,Missouri,29,Female,F,136,2860166,4.8
,1999,1999,Missouri,29,Male,M,564,2701782,20.9
,1999,1999,Montana,30,Female,F,29,450543,6.4
,1999,1999,Montana,30,Male,M,133,446964,29.8
,1999,1999,Nebraska,31,Female,F,23,865531,2.7
,1999,1999,Nebraska,31,Male,M,154,839233,18.4
,1999,1999,Nevada,32,Female,F,75,949422,7.9
,1999,1999,Nevada,32,Male,M,329,985296,33.4
,1999,1999,New Hampshire,33,Female,F,27,621409,4.3
,1999,1999,New Hampshire,33,Male,M,110,600605,18.3
,1999,1999,New Jersey,34,Female,F,117,4304271,2.7
,1999,1999,New Jersey,34,Male,M,446,4055321,11
,1999,1999,New Mexico,35,Female,F,56,918661,6.1
,1999,1999,New Mexico,35,Male,M,262,889421,29.5
,1999,1999,New York,36,Female,F,254,9777654,2.6
,1999,1999,New York,36,Male,M,941,9105071,10.3
,1999,1999,North Carolina,37,Female,F,181,4062710,4.5
,1999,1999,North Carolina,37,Male,M,703,3886651,18.1
,1999,1999,North Dakota,38,Female,F,17,322617,Unreliable
,1999,1999,North Dakota,38,Male,M,56,321642,17.4
,1999,1999,Ohio,39,Female,F,202,5835017,3.5
,1999,1999,Ohio,39,Male,M,901,5500437,16.4
,1999,1999,Oklahoma,40,Female,F,100,1748783,5.7
,1999,1999,Oklahoma,40,Male,M,392,1688364,23.2
,1999,1999,Oregon,41,Female,F,80,1712226,4.7
,1999,1999,Oregon,41,Male,M,397,1681715,23.6
,1999,1999,Pennsylvania,42,Female,F,229,6347064,3.6
,1999,1999,Pennsylvania,42,Male,M,1056,5916741,17.8
,1999,1999,Rhode Island,44,Female,F,21,540724,3.9
,1999,1999,Rhode Island,44,Male,M,75,499678,15
,1999,1999,South Carolina,45,Female,F,82,2045606,4
,1999,1999,South Carolina,45,Male,M,336,1929076,17.4
,1999,1999,South Dakota,46,Female,F,10,378500,Unreliable
,1999,1999,South Dakota,46,Male,M,93,371912,25
,1999,1999,Tennessee,47,Female,F,140,2897466,4.8
,1999,1999,Tennessee,47,Male,M,586,2741240,21.4
,1999,1999,Texas,48,Female,F,409,10360202,3.9
,1999,1999,Texas,48,Male,M,1595,10198018,15.6
,1999,1999,Utah,49,Female,F,41,1100167,3.7
,1999,1999,Utah,49,Male,M,240,1103315,21.8
,1999,1999,Vermont,50,Female,F,14,308398,Unreliable
,1999,1999,Vermont,50,Male,M,49,296285,16.5
,1999,1999,Virginia,51,Female,F,167,3569683,4.7
,1999,1999,Virginia,51,Male,M,625,3430491,18.2
,1999,1999,Washington,53,Female,F,171,2934901,5.8
,1999,1999,Washington,53,Male,M,644,2907663,22.1
,1999,1999,West Virginia,54,Female,F,34,931809,3.6
,1999,1999,West Virginia,54,Male,M,195,879990,22.2
,1999,1999,Wisconsin,55,Female,F,125,2701525,4.6
,1999,1999,Wisconsin,55,Male,M,468,2631141,17.8
,1999,1999,Wyoming,56,Female,F,23,244518,9.4
,1999,1999,Wyoming,56,Male,M,75,247262,30.3
,2000,2000,Alabama,1,Female,F,111,2300596,4.8
,2000,2000,Alabama,1,Male,M,471,2146504,21.9
,2000,2000,Alaska,2,Female,F,25,302820,8.3
,2000,2000,Alaska,2,Male,M,112,324112,34.6
,2000,2000,Arizona,4,Female,F,155,2569575,6
,2000,2000,Arizona,4,Male,M,628,2561057,24.5
,2000,2000,Arkansas,5,Female,F,69,1368707,5
,2000,2000,Arkansas,5,Male,M,280,1304693,21.5
,2000,2000,California,6,Female,F,617,16996756,3.6
,2000,2000,California,6,Male,M,2346,16874892,13.9
,2000,2000,Colorado,8,Female,F,118,2135278,5.5
,2000,2000,Colorado,8,Male,M,495,2165983,22.9
,2000,2000,Connecticut,9,Female,F,61,1756246,3.5
,2000,2000,Connecticut,9,Male,M,243,1649319,14.7
,2000,2000,Delaware,10,Female,F,20,403059,5
,2000,2000,Delaware,10,Male,M,62,380541,16.3
,2000,2000,District of Columbia,11,Male,M,18,269366,Unreliable
,2000,2000,Florida,12,Female,F,421,8184663,5.1
,2000,2000,Florida,12,Male,M,1665,7797715,21.4
,2000,2000,Georgia,13,Female,F,181,4159340,4.4
,2000,2000,Georgia,13,Male,M,665,4027113,16.5
,2000,2000,Hawaii,15,Female,F,26,602866,4.3
,2000,2000,Hawaii,15,Male,M,111,608671,18.2
,2000,2000,Idaho,16,Female,F,27,645293,4.2
,2000,2000,Idaho,16,Male,M,139,648660,21.4
,2000,2000,Illinois,17,Female,F,187,6338957,3
,2000,2000,Illinois,17,Male,M,815,6080336,13.4
,2000,2000,Indiana,18,Female,F,118,3098011,3.8
,2000,2000,Indiana,18,Male,M,564,2982474,18.9
,2000,2000,Iowa,19,Female,F,44,1490809,3
,2000,2000,Iowa,19,Male,M,245,1435515,17.1
,2000,2000,Kansas,20,Female,F,54,1359944,4
,2000,2000,Kansas,20,Male,M,271,1328474,20.4
,2000,2000,Kentucky,21,Female,F,85,2066401,4.1
,2000,2000,Kentucky,21,Male,M,435,1975368,22
,2000,2000,Louisiana,22,Female,F,82,2306073,3.6
,2000,2000,Louisiana,22,Male,M,385,2162903,17.8
,2000,2000,Maine,23,Female,F,20,654614,3.1
,2000,2000,Maine,23,Male,M,135,620309,21.8
,2000,2000,Maryland,24,Female,F,89,2738692,3.2
,2000,2000,Maryland,24,Male,M,385,2557794,15.1
,2000,2000,Massachusetts,25,Female,F,97,3290281,2.9
,2000,2000,Massachusetts,25,Male,M,288,3058816,9.4
,2000,2000,Michigan,26,Female,F,187,5065349,3.7
,2000,2000,Michigan,26,Male,M,787,4873095,16.1
,2000,2000,Minnesota,27,Female,F,72,2483848,2.9
,2000,2000,Minnesota,27,Male,M,368,2435631,15.1
,2000,2000,Mississippi,28,Female,F,52,1471104,3.5
,2000,2000,Mississippi,28,Male,M,241,1373554,17.5
,2000,2000,Missouri,29,Female,F,133,2875034,4.6
,2000,2000,Missouri,29,Male,M,566,2720177,20.8
,2000,2000,Montana,30,Female,F,23,452715,5.1
,2000,2000,Montana,30,Male,M,135,449480,30
,2000,2000,Nebraska,31,Female,F,34,867912,3.9
,2000,2000,Nebraska,31,Male,M,159,843351,18.9
,2000,2000,Nevada,32,Female,F,69,980206,7
,2000,2000,Nevada,32,Male,M,331,1018051,32.5
,2000,2000,New Hampshire,33,Female,F,27,628099,4.3
,2000,2000,New Hampshire,33,Male,M,103,607687,16.9
,2000,2000,New Jersey,34,Female,F,116,4331537,2.7
,2000,2000,New Jersey,34,Male,M,443,4082813,10.9
,2000,2000,New Mexico,35,Female,F,65,924729,7
,2000,2000,New Mexico,35,Male,M,262,894317,29.3
,2000,2000,New York,36,Female,F,198,9829709,2
,2000,2000,New York,36,Male,M,933,9146748,10.2
,2000,2000,North Carolina,37,Female,F,224,4106618,5.5
,2000,2000,North Carolina,37,Male,M,747,3942695,18.9
,2000,2000,North Dakota,38,Male,M,59,320524,18.4
,2000,2000,Ohio,39,Female,F,191,5840878,3.3
,2000,2000,Ohio,39,Male,M,897,5512262,16.3
,2000,2000,Oklahoma,40,Female,F,103,1754759,5.9
,2000,2000,Oklahoma,40,Male,M,394,1695895,23.2
,2000,2000,Oregon,41,Female,F,113,1724849,6.6
,2000,2000,Oregon,41,Male,M,380,1696550,22.4
,2000,2000,Pennsylvania,42,Female,F,241,6351391,3.8
,2000,2000,Pennsylvania,42,Male,M,1115,5929663,18.8
,2000,2000,Rhode Island,44,Female,F,14,544684,Unreliable
,2000,2000,Rhode Island,44,Male,M,61,503635,12.1
,2000,2000,South Carolina,45,Female,F,103,2063083,5
,2000,2000,South Carolina,45,Male,M,339,1948929,17.4
,2000,2000,South Dakota,46,Female,F,12,380286,Unreliable
,2000,2000,South Dakota,46,Male,M,83,374558,22.2
,2000,2000,Tennessee,47,Female,F,146,2919008,5
,2000,2000,Tennessee,47,Male,M,582,2770275,21
,2000,2000,Texas,48,Female,F,404,10498910,3.8
,2000,2000,Texas,48,Male,M,1644,10352910,15.9
,2000,2000,Utah,49,Female,F,73,1114138,6.6
,2000,2000,Utah,49,Male,M,225,1119031,20.1
,2000,2000,Vermont,50,Male,M,68,298337,22.8
,2000,2000,Virginia,51,Female,F,167,3606620,4.6
,2000,2000,Virginia,51,Male,M,602,3471895,17.3
,2000,2000,Washington,53,Female,F,141,2959821,4.8
,2000,2000,Washington,53,Male,M,586,2934300,20
,2000,2000,West Virginia,54,Female,F,51,929174,5.5
,2000,2000,West Virginia,54,Male,M,193,879170,22
,2000,2000,Wisconsin,55,Female,F,120,2714634,4.4
,2000,2000,Wisconsin,55,Male,M,471,2649041,17.8
,2000,2000,Wyoming,56,Female,F,15,245408,Unreliable
,2000,2000,Wyoming,56,Male,M,68,248374,27.4
,2001,2001,Alabama,1,Female,F,97,2309496,4.2
,2001,2001,Alabama,1,Male,M,415,2158138,19.2
,2001,2001,Alaska,2,Female,F,20,305579,6.5
,2001,2001,Alaska,2,Male,M,81,328135,24.7
,2001,2001,Arizona,4,Female,F,144,2641676,5.5
,2001,2001,Arizona,4,Male,M,618,2631801,23.5
,2001,2001,Arkansas,5,Female,F,68,1376845,4.9
,2001,2001,Arkansas,5,Male,M,314,1314726,23.9
,2001,2001,California,6,Female,F,503,17294223,2.9
,2001,2001,California,6,Male,M,2317,17185235,13.5
,2001,2001,Colorado,8,Female,F,151,2195705,6.9
,2001,2001,Colorado,8,Male,M,572,2229982,25.7
,2001,2001,Connecticut,9,Female,F,53,1768959,3
,2001,2001,Connecticut,9,Male,M,230,1663876,13.8
,2001,2001,Delaware,10,Female,F,23,409349,5.6
,2001,2001,Delaware,10,Male,M,84,386350,21.7
,2001,2001,District of Columbia,11,Male,M,34,270764,12.6
,2001,2001,Florida,12,Female,F,512,8372776,6.1
,2001,2001,Florida,12,Male,M,1797,7984190,22.5
,2001,2001,Georgia,13,Female,F,182,4256162,4.3
,2001,2001,Georgia,13,Male,M,750,4120876,18.2
,2001,2001,Hawaii,15,Female,F,33,609189,5.4
,2001,2001,Hawaii,15,Male,M,103,616759,16.7
,2001,2001,Idaho,16,Female,F,53,658043,8.1
,2001,2001,Idaho,16,Male,M,156,661919,23.6
,2001,2001,Illinois,17,Female,F,215,6370443,3.4
,2001,2001,Illinois,17,Male,M,923,6118002,15.1
,2001,2001,Indiana,18,Female,F,145,3120158,4.6
,2001,2001,Indiana,18,Male,M,570,3007602,19
,2001,2001,Iowa,19,Female,F,46,1492287,3.1
,2001,2001,Iowa,19,Male,M,257,1439710,17.9
,2001,2001,Kansas,20,Female,F,55,1365966,4
,2001,2001,Kansas,20,Male,M,237,1336196,17.7
,2001,2001,Kentucky,21,Female,F,91,2076871,4.4
,2001,2001,Kentucky,21,Male,M,401,1991261,20.1
,2001,2001,Louisiana,22,Female,F,97,2308063,4.2
,2001,2001,Louisiana,22,Male,M,394,2169812,18.2
,2001,2001,Maine,23,Female,F,33,659657,5
,2001,2001,Maine,23,Male,M,127,626035,20.3
,2001,2001,Maryland,24,Female,F,89,2779864,3.2
,2001,2001,Maryland,24,Male,M,363,2594827,14
,2001,2001,Massachusetts,25,Female,F,90,3312567,2.7
,2001,2001,Massachusetts,25,Male,M,338,3085067,11
,2001,2001,Michigan,26,Female,F,203,5089289,4
,2001,2001,Michigan,26,Male,M,846,4901831,17.3
,2001,2001,Minnesota,27,Female,F,86,2514149,3.4
,2001,2001,Minnesota,27,Male,M,392,2468647,15.9
,2001,2001,Mississippi,28,Female,F,54,1473486,3.7
,2001,2001,Mississippi,28,Male,M,274,1379508,19.9
,2001,2001,Missouri,29,Female,F,129,2895476,4.5
,2001,2001,Missouri,29,Male,M,592,2745666,21.6
,2001,2001,Montana,30,Female,F,27,454683,5.9
,2001,2001,Montana,30,Male,M,148,452278,32.7
,2001,2001,Nebraska,31,Female,F,26,871208,3
,2001,2001,Nebraska,31,Male,M,161,848628,19
,2001,2001,Nevada,32,Female,F,84,1030850,8.1
,2001,2001,Nevada,32,Male,M,303,1067549,28.4
,2001,2001,New Hampshire,33,Female,F,35,637412,5.5
,2001,2001,New Hampshire,33,Male,M,131,618105,21.2
,2001,2001,New Jersey,34,Female,F,134,4369932,3.1
,2001,2001,New Jersey,34,Male,M,455,4122739,11
,2001,2001,New Mexico,35,Female,F,79,930387,8.5
,2001,2001,New Mexico,35,Male,M,282,901303,31.3
,2001,2001,New York,36,Female,F,245,9878713,2.5
,2001,2001,New York,36,Male,M,1007,9204125,10.9
,2001,2001,North Carolina,37,Female,F,202,4187317,4.8
,2001,2001,North Carolina,37,Male,M,795,4022805,19.8
,2001,2001,North Dakota,38,Female,F,18,319787,Unreliable
,2001,2001,North Dakota,38,Male,M,61,319275,19.1
,2001,2001,Ohio,39,Female,F,216,5853691,3.7
,2001,2001,Ohio,39,Male,M,1003,5533713,18.1
,2001,2001,Oklahoma,40,Female,F,91,1760052,5.2
,2001,2001,Oklahoma,40,Male,M,424,1707048,24.8
,2001,2001,Oregon,41,Female,F,104,1747889,6
,2001,2001,Oregon,41,Male,M,399,1720048,23.2
,2001,2001,Pennsylvania,42,Female,F,224,6354395,3.5
,2001,2001,Pennsylvania,42,Male,M,1051,5944575,17.7
,2001,2001,Rhode Island,44,Female,F,22,548974,4
,2001,2001,Rhode Island,44,Male,M,65,508168,12.8
,2001,2001,South Carolina,45,Female,F,110,2089963,5.3
,2001,2001,South Carolina,45,Male,M,357,1975032,18.1
,2001,2001,South Dakota,46,Female,F,17,381537,Unreliable
,2001,2001,South Dakota,46,Male,M,88,376435,23.4
,2001,2001,Tennessee,47,Female,F,133,2948421,4.5
,2001,2001,Tennessee,47,Male,M,577,2802368,20.6
,2001,2001,Texas,48,Female,F,442,10731190,4.1
,2001,2001,Texas,48,Male,M,1779,10588432,16.8
,2001,2001,Utah,49,Female,F,55,1139182,4.8
,2001,2001,Utah,49,Male,M,264,1144533,23.1
,2001,2001,Vermont,50,Female,F,13,311779,Unreliable
,2001,2001,Vermont,50,Male,M,59,300444,19.6
,2001,2001,Virginia,51,Female,F,176,3665386,4.8
,2001,2001,Virginia,51,Male,M,621,3532976,17.6
,2001,2001,Washington,53,Female,F,143,3002080,4.8
,2001,2001,Washington,53,Male,M,569,2983642,19.1
,2001,2001,West Virginia,54,Female,F,44,923643,4.8
,2001,2001,West Virginia,54,Male,M,238,877838,27.1
,2001,2001,Wisconsin,55,Female,F,117,2733647,4.3
,2001,2001,Wisconsin,55,Male,M,521,2673188,19.5
,2001,2001,Wyoming,56,Female,F,11,245327,Unreliable
,2001,2001,Wyoming,56,Male,M,72,249330,28.9
,2002,2002,Alabama,1,Female,F,100,2314370,4.3
,2002,2002,Alabama,1,Male,M,414,2165719,19.1
,2002,2002,Alaska,2,Female,F,35,309633,11.3
,2002,2002,Alaska,2,Male,M,97,332704,29.2
,2002,2002,Arizona,4,Female,F,171,2704217,6.3
,2002,2002,Arizona,4,Male,M,713,2692038,26.5
,2002,2002,Arkansas,5,Female,F,66,1383239,4.8
,2002,2002,Arkansas,5,Male,M,310,1322688,23.4
,2002,2002,California,6,Female,F,709,17498462,4.1
,2002,2002,California,6,Male,M,2511,17373381,14.5
,2002,2002,Colorado,8,Female,F,143,2228665,6.4
,2002,2002,Colorado,8,Male,M,583,2261741,25.8
,2002,2002,Connecticut,9,Female,F,54,1780500,3
,2002,2002,Connecticut,9,Male,M,206,1678249,12.3
,2002,2002,Delaware,10,Male,M,66,391517,16.9
,2002,2002,District of Columbia,11,Male,M,23,270012,8.5
,2002,2002,Florida,12,Female,F,519,8541734,6.1
,2002,2002,Florida,12,Male,M,1815,8147636,22.3
,2002,2002,Georgia,13,Female,F,175,4327934,4
,2002,2002,Georgia,13,Male,M,728,4180322,17.4
,2002,2002,Hawaii,15,Female,F,26,616192,4.2
,2002,2002,Hawaii,15,Male,M,94,623421,15.1
,2002,2002,Idaho,16,Female,F,26,668686,3.9
,2002,2002,Idaho,16,Male,M,176,671686,26.2
,2002,2002,Illinois,17,Female,F,217,6387897,3.4
,2002,2002,Illinois,17,Male,M,923,6137659,15
,2002,2002,Indiana,18,Female,F,135,3133342,4.3
,2002,2002,Indiana,18,Male,M,608,3022625,20.1
,2002,2002,Iowa,19,Female,F,64,1491450,4.3
,2002,2002,Iowa,19,Male,M,250,1442784,17.3
,2002,2002,Kansas,20,Female,F,58,1371898,4.2
,2002,2002,Kansas,20,Male,M,287,1341637,21.4
,2002,2002,Kentucky,21,Female,F,95,2087223,4.6
,2002,2002,Kentucky,21,Male,M,444,2002652,22.2
,2002,2002,Louisiana,22,Female,F,81,2315524,3.5
,2002,2002,Louisiana,22,Male,M,416,2181743,19.1
,2002,2002,Maine,23,Female,F,33,664226,5
,2002,2002,Maine,23,Male,M,133,631734,21.1
,2002,2002,Maryland,24,Female,F,94,2815197,3.3
,2002,2002,Maryland,24,Male,M,383,2625192,14.6
,2002,2002,Massachusetts,25,Female,F,78,3319436,2.3
,2002,2002,Massachusetts,25,Male,M,358,3097770,11.6
,2002,2002,Michigan,26,Female,F,210,5100171,4.1
,2002,2002,Michigan,26,Male,M,898,4915539,18.3
,2002,2002,Minnesota,27,Female,F,89,2531205,3.5
,2002,2002,Minnesota,27,Male,M,406,2487730,16.3
,2002,2002,Mississippi,28,Female,F,55,1475412,3.7
,2002,2002,Mississippi,28,Male,M,288,1383269,20.8
,2002,2002,Missouri,29,Female,F,115,2910476,4
,2002,2002,Missouri,29,Male,M,576,2764349,20.8
,2002,2002,Montana,30,Female,F,34,456712,7.4
,2002,2002,Montana,30,Male,M,150,454955,33
,2002,2002,Nebraska,31,Female,F,34,874803,3.9
,2002,2002,Nebraska,31,Male,M,167,853489,19.6
,2002,2002,Nevada,32,Female,F,90,1069764,8.4
,2002,2002,Nevada,32,Male,M,333,1104027,30.2
,2002,2002,New Hampshire,33,Female,F,23,643680,3.6
,2002,2002,New Hampshire,33,Male,M,109,625409,17.4
,2002,2002,New Jersey,34,Female,F,112,4398801,2.5
,2002,2002,New Jersey,34,Male,M,442,4153842,10.6
,2002,2002,New Mexico,35,Female,F,63,941856,6.7
,2002,2002,New Mexico,35,Male,M,286,913453,31.3
,2002,2002,New York,36,Female,F,239,9902927,2.4
,2002,2002,New York,36,Male,M,988,9234873,10.7
,2002,2002,North Carolina,37,Female,F,196,4250179,4.6
,2002,2002,North Carolina,37,Male,M,791,4076022,19.4
,2002,2002,North Dakota,38,Female,F,14,319017,Unreliable
,2002,2002,North Dakota,38,Male,M,77,319151,24.1
,2002,2002,Ohio,39,Female,F,258,5859385,4.4
,2002,2002,Ohio,39,Male,M,1028,5548504,18.5
,2002,2002,Oklahoma,40,Female,F,104,1769080,5.9
,2002,2002,Oklahoma,40,Male,M,397,1720000,23.1
,2002,2002,Oregon,41,Female,F,85,1771126,4.8
,2002,2002,Oregon,41,Male,M,432,1742298,24.8
,2002,2002,Pennsylvania,42,Female,F,233,6363832,3.7
,2002,2002,Pennsylvania,42,Male,M,1103,5967199,18.5
,2002,2002,Rhode Island,44,Female,F,20,553090,3.6
,2002,2002,Rhode Island,44,Male,M,66,512905,12.9
,2002,2002,South Carolina,45,Female,F,75,2111069,3.6
,2002,2002,South Carolina,45,Male,M,362,1996726,18.1
,2002,2002,South Dakota,46,Female,F,18,382328,Unreliable
,2002,2002,South Dakota,46,Male,M,76,377692,20.1
,2002,2002,Tennessee,47,Female,F,166,2971873,5.6
,2002,2002,Tennessee,47,Male,M,613,2824045,21.7
,2002,2002,Texas,48,Female,F,504,10914653,4.6
,2002,2002,Texas,48,Male,M,1804,10775672,16.7
,2002,2002,Utah,49,Female,F,77,1158853,6.6
,2002,2002,Utah,49,Male,M,263,1165962,22.6
,2002,2002,Vermont,50,Female,F,17,312959,Unreliable
,2002,2002,Vermont,50,Male,M,75,302483,24.8
,2002,2002,Virginia,51,Female,F,176,3713695,4.7
,2002,2002,Virginia,51,Male,M,624,3573178,17.5
,2002,2002,Washington,53,Female,F,169,3036742,5.6
,2002,2002,Washington,53,Male,M,642,3015607,21.3
,2002,2002,West Virginia,54,Female,F,41,923841,4.4
,2002,2002,West Virginia,54,Male,M,235,881573,26.7
,2002,2002,Wisconsin,55,Female,F,115,2751697,4.2
,2002,2002,Wisconsin,55,Male,M,510,2693465,18.9
,2002,2002,Wyoming,56,Female,F,18,247785,Unreliable
,2002,2002,Wyoming,56,Male,M,87,252232,34.5
,2003,2003,Alabama,1,Female,F,96,2324069,4.1
,2003,2003,Alabama,1,Male,M,424,2179422,19.5
,2003,2003,Alaska,2,Female,F,25,313034,8
,2003,2003,Alaska,2,Male,M,99,335380,29.5
,2003,2003,Arizona,4,Female,F,173,2764077,6.3
,2003,2003,Arizona,4,Male,M,668,2746287,24.3
,2003,2003,Arkansas,5,Female,F,72,1391523,5.2
,2003,2003,Arkansas,5,Male,M,300,1333293,22.5
,2003,2003,California,6,Female,F,734,17709509,4.1
,2003,2003,California,6,Male,M,2658,17543650,15.2
,2003,2003,Colorado,8,Female,F,157,2253214,7
,2003,2003,Colorado,8,Male,M,571,2275518,25.1
,2003,2003,Connecticut,9,Female,F,66,1793468,3.7
,2003,2003,Connecticut,9,Male,M,206,1690868,12.2
,2003,2003,Delaware,10,Female,F,25,420802,5.9
,2003,2003,Delaware,10,Male,M,69,397201,17.4
,2003,2003,District of Columbia,11,Male,M,31,267895,11.6
,2003,2003,Florida,12,Female,F,497,8697573,5.7
,2003,2003,Florida,12,Male,M,1796,8306512,21.6
,2003,2003,Georgia,13,Female,F,170,4394952,3.9
,2003,2003,Georgia,13,Male,M,793,4227841,18.8
,2003,2003,Hawaii,15,Female,F,33,623753,5.3
,2003,2003,Hawaii,15,Male,M,97,627401,15.5
,2003,2003,Idaho,16,Female,F,32,679877,4.7
,2003,2003,Idaho,16,Male,M,184,683503,26.9
,2003,2003,Illinois,17,Female,F,178,6402859,2.8
,2003,2003,Illinois,17,Male,M,829,6153147,13.5
,2003,2003,Indiana,18,Female,F,133,3152366,4.2
,2003,2003,Indiana,18,Male,M,603,3044272,19.8
,2003,2003,Iowa,19,Female,F,60,1493907,4
,2003,2003,Iowa,19,Male,M,292,1448092,20.2
,2003,2003,Kansas,20,Female,F,76,1377415,5.5
,2003,2003,Kansas,20,Male,M,272,1345589,20.2
,2003,2003,Kentucky,21,Female,F,96,2102308,4.6
,2003,2003,Kentucky,21,Male,M,471,2014862,23.4
,2003,2003,Louisiana,22,Female,F,99,2327153,4.3
,2003,2003,Louisiana,22,Male,M,361,2193889,16.5
,2003,2003,Maine,23,Female,F,29,668680,4.3
,2003,2003,Maine,23,Male,M,108,637833,16.9
,2003,2003,Maryland,24,Female,F,102,2843847,3.6
,2003,2003,Maryland,24,Male,M,390,2652422,14.7
,2003,2003,Massachusetts,25,Female,F,103,3320817,3.1
,2003,2003,Massachusetts,25,Male,M,330,3101748,10.6
,2003,2003,Michigan,26,Female,F,204,5110521,4
,2003,2003,Michigan,26,Male,M,823,4930631,16.7
,2003,2003,Minnesota,27,Female,F,92,2546999,3.6
,2003,2003,Minnesota,27,Male,M,405,2506573,16.2
,2003,2003,Mississippi,28,Female,F,78,1479611,5.3
,2003,2003,Mississippi,28,Male,M,258,1388701,18.6
,2003,2003,Missouri,29,Female,F,143,2926556,4.9
,2003,2003,Missouri,29,Male,M,534,2782847,19.2
,2003,2003,Montana,30,Female,F,34,460116,7.4
,2003,2003,Montana,30,Male,M,147,459514,32
,2003,2003,Nebraska,31,Female,F,25,879362,2.8
,2003,2003,Nebraska,31,Male,M,151,859281,17.6
,2003,2003,Nevada,32,Female,F,85,1108135,7.7
,2003,2003,Nevada,32,Male,M,347,1140715,30.4
,2003,2003,New Hampshire,33,Female,F,31,648513,4.8
,2003,2003,New Hampshire,33,Male,M,127,631327,20.1
,2003,2003,New Jersey,34,Female,F,117,4421964,2.6
,2003,2003,New Jersey,34,Male,M,471,4179438,11.3
,2003,2003,New Mexico,35,Female,F,53,952303,5.6
,2003,2003,New Mexico,35,Male,M,288,925271,31.1
,2003,2003,New York,36,Female,F,241,9917810,2.4
,2003,2003,New York,36,Male,M,925,9258129,10
,2003,2003,North Carolina,37,Female,F,197,4313901,4.6
,2003,2003,North Carolina,37,Male,M,758,4108600,18.4
,2003,2003,North Dakota,38,Female,F,15,318896,Unreliable
,2003,2003,North Dakota,38,Male,M,66,319921,20.6
,2003,2003,Ohio,39,Female,F,189,5868535,3.2
,2003,2003,Ohio,39,Male,M,885,5566253,15.9
,2003,2003,Oklahoma,40,Female,F,78,1777723,4.4
,2003,2003,Oklahoma,40,Male,M,397,1727169,23
,2003,2003,Oregon,41,Female,F,112,1788805,6.3
,2003,2003,Oregon,41,Male,M,479,1758571,27.2
,2003,2003,Pennsylvania,42,Female,F,245,6377894,3.8
,2003,2003,Pennsylvania,42,Male,M,1093,5996764,18.2
,2003,2003,Rhode Island,44,Female,F,15,555590,Unreliable
